10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/components/colorpicker/images/sv.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/General_Logo.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-right.jpg HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-left.jpg HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/Barra_Filtros.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/general/16x16/ico-info.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/general/16x16/ico-trash.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/general/resize.gif HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/images/general/16x16/ico-calendar.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/section/images/menup_left.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:28 -0300] "GET /estagios/section/images/menup_right.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:29 -0300] "GET /estagios/ HTTP/1.1" 200 289620
10.50.22.13 - usuario [21/Nov/2017:07:34:29 -0300] "GET /estagios/images/general/loading.gif HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:34:50 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
212.47.227.163 - - [21/Nov/2017:08:25:50 -0300] "GET / HTTP/1.1" 404 -
77.241.198.2 - - [21/Nov/2017:09:31:41 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [21/Nov/2017:09:33:55 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [21/Nov/2017:09:35:14 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [21/Nov/2017:10:07:40 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [21/Nov/2017:12:21:14 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [21/Nov/2017:12:57:44 -0300] "GET / HTTP/1.1" 404 -
123.59.66.152 - - [21/Nov/2017:13:18:16 -0300] "GET /favicon.ico HTTP/1.1" 404 -
212.47.227.163 - - [21/Nov/2017:14:03:23 -0300] "GET / HTTP/1.1" 404 -
66.249.83.92 - - [21/Nov/2017:18:13:37 -0300] "GET /estagios/ HTTP/1.1" 200 6268
66.249.83.93 - - [21/Nov/2017:18:13:38 -0300] "GET /favicon.ico HTTP/1.1" 404 -
91.196.50.33 - - [21/Nov/2017:18:18:29 -0300] "GET /testproxy.php HTTP/1.1" 404 -
212.47.227.163 - - [21/Nov/2017:18:29:13 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [21/Nov/2017:19:38:32 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [21/Nov/2017:19:48:07 -0300] "GET / HTTP/1.1" 404 -
80.64.80.17 - - [21/Nov/2017:21:01:51 -0300] "GET / HTTP/1.0" 404 -
177.138.142.110 - - [21/Nov/2017:21:01:53 -0300] "GET / HTTP/1.0" 404 -
212.47.227.163 - - [21/Nov/2017:21:39:56 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [21/Nov/2017:22:32:37 -0300] "GET / HTTP/1.1" 404 -
