10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/panelProperties/EditMod.png HTTP/1.1" 200 1248
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/panelProperties/PropertiesMod.png HTTP/1.1" 200 1389
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/images/general/loading.gif HTTP/1.1" 200 17782
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/components/colorpicker/images/sv.png HTTP/1.1" 200 11373
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/components/colorpicker/images/position.png HTTP/1.1" 200 267
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/components/colorpicker/images/h.png HTTP/1.1" 200 380
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/components/colorpicker/images/crosshairs.png HTTP/1.1" 200 218
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/components/colorpicker/images/close.gif HTTP/1.1" 200 601
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/templates/css/images/bg_select.png HTTP/1.1" 200 1279
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/templates/css/images/shadow_admin-bar.png HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/General_Logo.png HTTP/1.1" 200 7509
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 200 17813
10.52.0.13 - deppi [26/Sep/2017:07:53:58 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 200 17813
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
