10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/components/colorpicker/images/sv.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/components/colorpicker/images/h.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/components/colorpicker/images/close.gif HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/components/colorpicker/images/position.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/remove.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/edit.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/duplicate-workspace.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/duplicate-section.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/new-panel.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/components/colorpicker/images/crosshairs.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/templates/css/images/bg_select.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/processes.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/login-logout.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/new-workspace.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/admin_up.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/templates/css/images/shadow_admin-bar.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/adminHeader/new-section.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/panelProperties/PropertiesMod.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/general/PopMenu.gif HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/panelProperties/Erase.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/panelProperties/EditMod.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/general/movePanel.gif HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/panelProperties/HelpMod.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/general/loading.gif HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/general/resize.gif HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-right.jpg HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/General_Logo.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/panelProperties/CloseMenu.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/favicon.ico HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-left.jpg HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/section/images/menup_left.png HTTP/1.1" 200 1442
10.50.14.27 - deppi [17/Nov/2017:07:52:54 -0300] "GET /estagios/section/images/menup_right.png HTTP/1.1" 200 1741
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/ckeditor/ckeditor.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:53:26 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
