91.196.50.33 - - [03/Dec/2017:02:46:36 -0300] "GET /testproxy.php HTTP/1.1" 404 -
202.168.151.108 - - [03/Dec/2017:11:13:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
202.168.151.108 - - [03/Dec/2017:11:13:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
212.47.227.163 - - [03/Dec/2017:12:05:33 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [03/Dec/2017:12:25:06 -0300] "GET / HTTP/1.1" 404 -
208.113.204.247 - - [03/Dec/2017:12:27:23 -0300] "GET / HTTP/1.0" 404 -
208.113.204.247 - - [03/Dec/2017:12:31:11 -0300] "GET / HTTP/1.0" 404 -
208.113.204.247 - - [03/Dec/2017:12:38:42 -0300] "GET / HTTP/1.0" 404 -
208.113.204.247 - - [03/Dec/2017:12:51:14 -0300] "GET / HTTP/1.0" 404 -
163.172.149.131 - - [03/Dec/2017:13:32:09 -0300] "GET / HTTP/1.1" 404 -
208.113.204.247 - - [03/Dec/2017:13:38:26 -0300] "GET / HTTP/1.0" 404 -
212.47.227.163 - - [03/Dec/2017:15:06:48 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [03/Dec/2017:15:48:36 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [03/Dec/2017:16:21:24 -0300] "GET / HTTP/1.1" 404 -
66.249.83.94 - - [03/Dec/2017:19:28:40 -0300] "GET /favicon.ico HTTP/1.1" 404 -
123.232.172.196 - - [03/Dec/2017:19:31:48 -0300] "GET / HTTP/1.1" 404 -
123.232.172.196 - - [03/Dec/2017:19:32:19 -0300] "GET / HTTP/1.1" 404 -
183.17.146.188 - - [03/Dec/2017:21:14:26 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:26 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:27 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:27 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:28 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:28 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:28 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:29 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:29 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:33 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:34 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:35 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:36 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:36 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:40 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:42 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:46 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:49 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:49 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:50 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:50 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:50 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:51 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:51 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:52 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:52 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:52 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:53 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:53 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:54 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:54 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:55 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:55 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:55 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:56 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:56 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:57 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:57 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:57 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:58 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:58 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:59 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:14:59 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:00 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:00 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:00 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:01 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:01 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:02 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:02 -0300] "GET /manager/html HTTP/1.1" 401 2536
183.17.146.188 - - [03/Dec/2017:21:15:02 -0300] "GET /manager/html HTTP/1.1" 401 2536
212.47.227.163 - - [03/Dec/2017:21:55:29 -0300] "GET / HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:24 -0300] "GET / HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:30 -0300] "GET /index.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:35 -0300] "GET /login.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:41 -0300] "GET /struts2-showcase/person/editPerson.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:47 -0300] "GET /struts2-showcase/showcase.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:36:53 -0300] "GET /struts-cookbook/processSimple.do HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:00 -0300] "GET /portal/client/cms/viewcmspage.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:07 -0300] "GET /admin/agent/default.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:13 -0300] "GET /index.do HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:19 -0300] "GET /Dashboard.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:24 -0300] "GET /admin/login_login.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:30 -0300] "GET /login.jsp HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:37 -0300] "GET /struts/login.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:43 -0300] "GET /home.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:49 -0300] "GET /Homepage.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:37:55 -0300] "GET /main.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:38:01 -0300] "GET /default.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:38:07 -0300] "GET /welcome.action HTTP/1.1" 404 -
5.188.10.251 - - [03/Dec/2017:22:38:13 -0300] "GET /contact.action HTTP/1.1" 404 -
212.47.244.68 - - [03/Dec/2017:23:05:24 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [03/Dec/2017:23:12:32 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [03/Dec/2017:23:43:26 -0300] "GET / HTTP/1.1" 404 -
