91.236.75.4 - - [14/Sep/2017:00:35:35 -0300] "GET / HTTP/1.1" 200 11418
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 200 2931
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 200 215309
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/common/rs/popup.js HTTP/1.1" 200 14707
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/skins/Default_Skin/styles/default.css HTTP/1.1" 200 6398
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 200 10901
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/styles.css HTTP/1.1" 200 2703
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/section/css/RenderSection.css HTTP/1.1" 200 1643
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/templates/css/panel_properties.css HTTP/1.1" 200 1834
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 200 2032
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 200 34787
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 200 10162
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 200 4744
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 200 2456
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/ckeditor/ckeditor.js HTTP/1.1" 200 479639
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
10.50.13.1 - usuario [14/Sep/2017:11:11:34 -0300] "GET /dashbuilder/favicon.ico HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/general/16x16/ico-info.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/general/16x16/ico-calendar.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/workspace/pt/central/7844?csrf=92651054 HTTP/1.1" 200 199073
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/section/images/menup_right.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/section/images/menup_left.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/deppi.png HTTP/1.1" 200 1381
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/Barra_Menu.png HTTP/1.1" 200 1072
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/logo_if.png HTTP/1.1" 200 34937
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/workspace/pt/central/images/Barra_Filtros.png HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:35 -0300] "GET /dashbuilder/images/Barra_Filtros.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:41 -0300] "GET /dashbuilder/workspace/pt/central/7844?idPanel=6891&pAction=_select&csrf=90432536&ajaxAction=true HTTP/1.1" 200 12608
10.50.13.1 - usuario [14/Sep/2017:11:11:43 -0300] "GET /dashbuilder/workspace/pt/central/7844?idPanel=6851&pAction=_select&csrf=92976040&ajaxAction=true HTTP/1.1" 200 12742
10.50.13.1 - usuario [14/Sep/2017:11:11:53 -0300] "POST /dashbuilder/Controller?csrf=90432536 HTTP/1.1" 200 4543
10.50.13.1 - usuario [14/Sep/2017:11:11:53 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=90432536 HTTP/1.1" 200 3533
10.50.13.1 - usuario [14/Sep/2017:11:11:54 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6978&pAction=_refreshPanel&csrf=90432536 HTTP/1.1" 200 48192
10.50.13.1 - usuario [14/Sep/2017:11:11:54 -0300] "GET /dashbuilder/images/general/16x16/ico-trash.png HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:54 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6851&pAction=_refreshPanel&csrf=63337635 HTTP/1.1" 200 5319
10.50.13.1 - usuario [14/Sep/2017:11:11:56 -0300] "GET /dashbuilder/workspace/pt/central/7844?idPanel=6901&pAction=_select&csrf=63337635&ajaxAction=true HTTP/1.1" 200 11737
10.50.13.1 - usuario [14/Sep/2017:11:12:00 -0300] "GET /dashbuilder/workspace/pt/central/7844?idPanel=6891&pAction=_select&csrf=44768342&ajaxAction=true HTTP/1.1" 200 12603
10.50.13.1 - usuario [14/Sep/2017:11:12:07 -0300] "POST /dashbuilder/Controller?csrf=15670188 HTTP/1.1" 200 4545
10.50.13.1 - usuario [14/Sep/2017:11:12:07 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6978&pAction=_refreshPanel&csrf=54474222 HTTP/1.1" 200 33724
10.50.13.1 - usuario [14/Sep/2017:11:12:07 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6871&pAction=_refreshPanel&csrf=65717840 HTTP/1.1" 200 3805
10.50.13.1 - usuario [14/Sep/2017:11:12:07 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=54474222 HTTP/1.1" 200 3397
10.50.13.1 - usuario [14/Sep/2017:11:12:09 -0300] "GET /dashbuilder/workspace/pt/central/7844?idPanel=6901&pAction=_select&csrf=15670188&ajaxAction=true HTTP/1.1" 200 11734
10.50.13.1 - usuario [14/Sep/2017:11:12:52 -0300] "POST /dashbuilder/Controller?csrf=02105534 HTTP/1.1" 200 5316
